userId,recommended_item_ids_in_db,gt,number_of_hits,original_recommendations
326,"[912, 910, 1247, 1294, 2825, 356, 1197, 3448, 1307, 296]","[1219, 1387, 933, 750, 1958, 3361, 2634, 3897, 3479, 2529, 2398, 1271, 3099, 2501, 2745, 2140, 589, 468, 648, 2291, 2359, 3060, 3201, 3107, 1270, 2967, 952, 3671, 3394, 1197, 597, 2139, 1394, 1968, 2929, 1617, 1302, 1124, 2065, 2987, 3675, 1291, 1948, 1376, 3363, 2302, 2944, 21, 592, 281, 2420, 1935, 1961, 2300, 3684, 377, 3061, 1206, 3545, 953, 2762, 903, 1500]",1,"['Casablanca (1942)', 'Some Like It Hot (1959)', 'The Graduate (1967)', 'M*A*S*H (1970)', 'Tootsie (1982)', 'Forrest Gump (1994)', 'The Princess Bride (1987)', 'Good Morning, Vietnam (1987)', 'When Harry Met Sally... (1989)', 'Pulp Fiction (1994)']"
5863,"[1270, 1198, 1197, 480, 1265, 1682, 1527, 1732, 318]","[1617, 2762]",0,"['Back to the Future (1985)', 'Raiders of the Lost Ark (1981)', 'The Princess Bride (1987)', 'Jurassic Park (1993)', 'Groundhog Day (1993)', 'The Truman Show (1998)', 'The Fifth Element (1997)', 'The Mask (1994)', 'The Big Lebowski (1998)', 'The Shawshank Redemption (1994)', 'Enjoy watching!']"
1799,"[296, 2959, 318, 480, 356, 593, 1682, 1704, 2762]","[1249, 3246, 480, 1266, 337, 523, 535, 3951, 1639, 1095, 2268, 150, 2303, 2291, 2289, 2391]",1,"['Pulp Fiction (1994)', 'The Matrix (1999)', 'Fight Club (1999)', 'The Shawshank Redemption (1994)', 'Jurassic Park (1993)', 'Forrest Gump (1994)', 'The Silence of the Lambs (1991)', 'The Truman Show (1998)', 'Good Will Hunting (1997)', 'The Sixth Sense (1999)']"
224,"[1270, 1198, 1036, 1197, 296, 480, 318, 2716, 1240, 2959]","[1265, 3466, 2282, 3052, 3072, 1678, 144, 2321, 3553, 1, 1079, 1653, 3793, 648, 1648, 3594, 2174, 2125, 955, 3555, 3536, 1207, 1197, 1748, 1968, 1083, 2628, 1095, 800, 1441]",1,"['Back to the Future (1985)', 'Raiders of the Lost Ark (1981)', 'Die Hard (1988)', 'The Princess Bride (1987)', 'Pulp Fiction (1994)', 'Jurassic Park (1993)', 'The Shawshank Redemption (1994)', 'Ghostbusters (1984)', 'The Terminator (1984)', 'Fight Club (1999)']"
159,"[356, 296, 318, 1704, 2959, 1682, 110, 3147, 3578]","[3255, 2710, 2683]",0,"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Good Will Hunting (1997)', 'Fight Club (1999)', 'The Truman Show (1998)', 'The Matrix (1999)', 'Braveheart (1995)', 'The Green Mile (1999)', 'Gladiator (2000)']"
1177,"[539, 1307, 1682, 2671, 356, 318, 597, 1569, 1197, 17]","[551, 858, 3457, 3429, 593, 3932, 480, 3753]",0,"['Sleepless in Seattle (1993)', 'When Harry Met Sally... (1989)', 'The Truman Show (1998)', 'Notting Hill (1999)', 'Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Pretty Woman (1990)', ""My Best Friend's Wedding (1997)"", 'The Princess Bride (1987)', 'Sense and Sensibility (1995)']"
2156,"[1, 1270, 2716, 1198, 1197, 480, 1240, 364, 1527, 673]","[3525, 223, 296, 2700, 1088, 2315, 2170, 1371, 1356, 2787, 1126, 2094, 1580, 1197, 1573, 288, 3173, 1136, 2901, 1350, 1302, 1014, 1223, 2078, 24, 2471, 1884, 1253, 3771, 3476, 1387, 44, 2009, 1017, 1013, 367, 910, 610, 1487, 20, 2944, 260, 1200, 3930, 2081, 1584, 3253, 161]",1,"['Toy Story (1995)', 'Back to the Future (1985)', 'Ghostbusters (1984)', 'Raiders of the Lost Ark (1981)', 'The Princess Bride (1987)', 'Jurassic Park (1993)', 'The Terminator (1984)', 'The Lion King (1994)', 'The Fifth Element (1997)', 'Space Jam (1996)']"
886,"[2791, 1270, 1197, 2716, 1265, 1580, 1682, 1517, 3175, 1732]","[3751, 3328, 3182, 3865, 3783]",0,"['Airplane! (1980)', 'Back to the Future (1985)', 'The Princess Bride (1987)', 'Ghostbusters (1984)', 'Groundhog Day (1993)', 'Men in Black (1997)', 'The Truman Show (1998)', 'Austin Powers: International Man of Mystery (1997)', 'Galaxy Quest (1999)', 'The Big Lebowski (1998)']"
3943,"[356, 1197, 1, 1307, 1035, 500, 1265, 1270, 595]","[62, 2384, 1265, 1393, 1, 52, 1210, 1569]",2,"['""Forrest Gump"" (1994)', '""The Princess Bride"" (1987)', '""Toy Story"" (1995)', '""When Harry Met Sally..."" (1989)', '""The Sound of Music"" (1965)', '""Mrs. Doubtfire"" (1993)', '""The Lion King"" (1994)', '""Groundhog Day"" (1993)', '""Back to the Future"" (1985)', '""Beauty and the Beast"" (1991)', 'Enjoy watching!']"
1672,"[2791, 1307, 2716, 1036, 1197, 3448, 2000, 1265, 110, 296]","[21, 3114, 110, 518, 2433, 2794, 589]",1,"['Airplane! (1980)', 'When Harry Met Sally... (1989)', 'Ghostbusters (1984)', 'Die Hard (1988)', 'The Princess Bride (1987)', 'Good Morning, Vietnam (1987)', 'Lethal Weapon (1987)', 'Groundhog Day (1993)', 'Braveheart (1995)', 'Pulp Fiction (1994)', 'Enjoy watching!']"
