userId,gender,age_group,recommendations,all_movies_rec
5,Male,Young (21-40 years),"[356, 1682, 318, 1265, 1704, 1784, 1393]","['""Forrest Gump"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)', '""Amélie"" (2001)', '""The Shawshank Redemption"" (1994)', '""Groundhog Day"" (1993)', '""Good Will Hunting"" (1997)', '""As Good as It Gets"" (1997)', '""Lost in Translation"" (2003)', '""Jerry Maguire"" (1996)']"
27,Male,Young (21-40 years),"[318, 296, 356, 1732, 1704, 1682, 1197, 1265]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)', '""The Godfather"" (1972)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Big Lebowski"" (1998)', '""Good Will Hunting"" (1997)', '""The Truman Show"" (1998)', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)']"
54,Male,Adult (41-60 years),"[910, 1247, 1265, 1293, 2825, 1197, 1732, 608, 1682, 1079]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", 'Some Like It Hot (1959)', 'The Graduate (1967)', 'Groundhog Day (1993)', 'Annie (1982)', 'Tootsie (1982)', 'The Princess Bride (1987)', 'The Big Lebowski (1998)', 'Fargo (1996)', 'The Truman Show (1998)', 'A Fish Called Wanda (1988)']"
59,Female,Adult (41-60 years),"[912, 1204, 318, 527, 1207, 1183, 1104, 515]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Casablanca"" (1942)', '""Lawrence of Arabia"" (1962)', '""The Shawshank Redemption"" (1994)', '""Schindler\'s List"" (1993)', '""The Godfather"" (1972)', '""To Kill a Mockingbird"" (1962)', '""The Pianist"" (2002)', '""The English Patient"" (1996)', '""A Streetcar Named Desire"" (1951)', '""The Remains of the Day"" (1993)']"
95,Male,Adult (41-60 years),"[318, 296, 356, 1704, 593, 110, 50, 527, 2959]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)', '""The Matrix"" (1999)', '""Good Will Hunting"" (1997)', '""The Silence of the Lambs"" (1991)', '""Braveheart"" (1995)', '""The Usual Suspects"" (1995)', '""Schindler\'s List"" (1993)', '""Fight Club"" (1999)']"
160,Male,Young (21-40 years),"[318, 1198, 356, 296, 593, 1704, 1265, 1682, 2762]","['Step 2: Filter movies based on preferred genres and years:', 'The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Good Will Hunting (1997)', 'Groundhog Day (1993)', 'The Truman Show (1998)', 'The Sixth Sense (1999)']"
173,Male,Young (21-40 years),[],[]
205,Male,Young (21-40 years),"[2791, 1265, 1197, 1198, 296, 318, 593, 858, 2762, 589]","['""Airplane! (1980)', '""Groundhog Day (1993)', '""The Princess Bride (1987)', '""Raiders of the Lost Ark (1981)', '""Pulp Fiction (1994)', '""The Shawshank Redemption (1994)', '""The Silence of the Lambs (1991)', '""The Godfather (1972)', '""The Sixth Sense (1999)', '""The Terminator 2: Judgment Day (1991)']"
218,Male,Young (21-40 years),"[356, 1682, 1265, 1784, 1197, 318, 1732, 1704, 1968]","['""Forrest Gump"" (1994)', '""The Truman Show"" (1998)', '""Groundhog Day"" (1993)', '""As Good as It Gets"" (1997)', '""The Princess Bride"" (1987)', '""The Shawshank Redemption"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Big Lebowski"" (1998)', '""Good Will Hunting"" (1997)', '""The Breakfast Club"" (1985)']"
245,Male,Young (21-40 years),[],[]
258,Male,Young (21-40 years),"[296, 318, 356, 1704, 2959, 593, 1682, 1732]","['""Pulp Fiction"" (1994)', '""The Shawshank Redemption"" (1994)', '""Forrest Gump"" (1994)', '""The Dark Knight"" (2008)', '""Good Will Hunting"" (1997)', '""The Matrix"" (1999)', '""Fight Club"" (1999)', '""The Silence of the Lambs"" (1991)', '""The Truman Show"" (1998)', '""The Big Lebowski"" (1998)']"
261,Male,Young (21-40 years),[],[]
263,Female,Young (21-40 years),"[1270, 1580, 1265, 1527, 1682, 2716, 1517, 480]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Back to the Future"" (1985)', '""The Princess Diaries"" (2001)', '""Men in Black"" (1997)', '""Groundhog Day"" (1993)', '""The Fifth Element"" (1997)', '""The Truman Show"" (1998)', '""Ghostbusters"" (1984)', '""The Mask"" (1994)', '""Austin Powers: International Man of Mystery"" (1997)', '""Jurassic Park"" (1993)']"
356,Male,Adult (41-60 years),"[1258, 1219, 593, 2160, 2762, 1345, 2710]","[""We will also ensure that the recommendations are fair and do not disproportionately favor or disfavor movies based on the user's gender_and_age."", 'The Shining (1980)', 'Psycho (1960)', 'The Silence of the Lambs (1991)', ""Rosemary's Baby (1968)"", 'The Sixth Sense (1999)', 'Carrie (1976)', 'The Blair Witch Project (1999)', 'The Exorcism of Emily Rose (2005)', 'The Others (2001)', 'The Babadook (2014)']"
376,Male,Young (21-40 years),"[318, 356, 296, 1682, 1732, 1704, 1197, 50, 3147, 1265]","['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Truman Show (1998)', 'The Big Lebowski (1998)', 'Good Will Hunting (1997)', 'The Princess Bride (1987)', 'The Usual Suspects (1995)', 'The Green Mile (1999)', 'Groundhog Day (1993)', 'The selected movies cover a range of genres and themes to provide a diverse and enjoyable viewing experience.']"
386,Male,Young (21-40 years),[],[]
