userId,recommended_item_ids_in_db,gt,number_of_hits,original_recommendations
326,"[1, 1197, 356, 364, 1270, 318, 2081, 1265, 1097, 1682]","[1219, 1387, 933, 750, 1958, 3361, 2634, 3897, 3479, 2529, 2398, 1271, 3099, 2501, 2745, 2140, 589, 468, 648, 2291, 2359, 3060, 3201, 3107, 1270, 2967, 952, 3671, 3394, 1197, 597, 2139, 1394, 1968, 2929, 1617, 1302, 1124, 2065, 2987, 3675, 1291, 1948, 1376, 3363, 2302, 2944, 21, 592, 281, 2420, 1935, 1961, 2300, 3684, 377, 3061, 1206, 3545, 953, 2762, 903, 1500]",2,"['Toy Story (1995)', 'The Princess Bride (1987)', 'Forrest Gump (1994)', 'The Lion King (1994)', 'Back to the Future (1985)', 'The Shawshank Redemption (1994)', 'The Little Mermaid (1989)', 'Groundhog Day (1993)', 'E.T. the Extra-Terrestrial (1982)', 'The Truman Show (1998)']"
5863,"[1270, 1198, 1197, 318, 2791, 858, 480, 1732, 1036, 296]","[1617, 2762]",0,"['Back to the Future (1985)', 'Raiders of the Lost Ark (1981)', 'The Princess Bride (1987)', 'The Shawshank Redemption (1994)', 'Airplane! (1980)', 'The Godfather (1972)', 'Jurassic Park (1993)', 'The Big Lebowski (1998)', 'Die Hard (1988)', 'Pulp Fiction (1994)']"
1799,"[318, 296, 1682, 457, 1265, 3147, 539, 2762, 608, 2396]","[1249, 3246, 480, 1266, 337, 523, 535, 3951, 1639, 1095, 2268, 150, 2303, 2291, 2289, 2391]",0,"['The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'The Truman Show (1998)', 'The Fugitive (1993)', 'Groundhog Day (1993)', 'The Green Mile (1999)', 'Sleepless in Seattle (1993)', 'The Sixth Sense (1999)', 'Fargo (1996)', 'Shakespeare in Love (1998)']"
224,"[527, 858, 356, 318, 912, 1213, 1247, 1090, 1230, 1263]","[1265, 3466, 2282, 3052, 3072, 1678, 144, 2321, 3553, 1, 1079, 1653, 3793, 648, 1648, 3594, 2174, 2125, 955, 3555, 3536, 1207, 1197, 1748, 1968, 1083, 2628, 1095, 800, 1441]",0,"[""Schindler's List (1993)"", 'The Godfather (1972)', 'Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Casablanca (1942)', 'Goodfellas (1990)', 'The Graduate (1967)', 'Platoon (1986)', 'Annie Hall (1977)', 'The Deer Hunter (1978)']"
159,"[1265, 1784, 1197, 2918, 1307, 39, 1682, 500, 2671, 1777]","[3255, 2710, 2683]",0,"['""Groundhog Day"" (1993)', '""As Good as It Gets"" (1997)', '""The Princess Bride"" (1987)', '""Ferris Bueller\'s Day Off"" (1986)', '""When Harry Met Sally..."" (1989)', '""Clueless"" (1995)', '""The Truman Show"" (1998)', '""Mrs. Doubtfire"" (1993)', '""Notting Hill"" (1999)', '""The Wedding Singer"" (1998)']"
1177,"[318, 356, 1213, 858, 1197, 1036, 593, 1265, 110, 296]","[551, 858, 3457, 3429, 593, 3932, 480, 3753]",2,"['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Goodfellas (1990)', 'The Godfather (1972)', 'The Princess Bride (1987)', 'Die Hard (1988)', 'The Silence of the Lambs (1991)', 'Groundhog Day (1993)', 'Braveheart (1995)', 'Pulp Fiction (1994)']"
2156,"[296, 318, 1213, 593, 356, 1240, 858, 1089, 50]","[3525, 223, 296, 2700, 1088, 2315, 2170, 1371, 1356, 2787, 1126, 2094, 1580, 1197, 1573, 288, 3173, 1136, 2901, 1350, 1302, 1014, 1223, 2078, 24, 2471, 1884, 1253, 3771, 3476, 1387, 44, 2009, 1017, 1013, 367, 910, 610, 1487, 20, 2944, 260, 1200, 3930, 2081, 1584, 3253, 161]",1,"['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Goodfellas (1990)', 'The Matrix (1999)', 'The Silence of the Lambs (1991)', 'Forrest Gump (1994)', 'The Terminator (1984)', 'The Godfather (1972)', 'Reservoir Dogs (1992)', 'The Usual Suspects (1995)']"
886,"[356, 2028, 318, 1704, 1682, 527, 2858, 3147]","[3751, 3328, 3182, 3865, 3783]",0,"['Forrest Gump (1994)', 'Saving Private Ryan (1998)', 'The Shawshank Redemption (1994)', 'Good Will Hunting (1997)', 'Life is Beautiful (1997)', 'The Truman Show (1998)', ""Schindler's List (1993)"", 'American Beauty (1999)', 'The Pianist (2002)', 'The Green Mile (1999)']"
3943,"[318, 356, 364, 1721, 296, 1682, 595, 3147, 1197, 1035]","[62, 2384, 1265, 1393, 1, 52, 1210, 1569]",0,"['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Lion King (1994)', 'Titanic (1997)', 'Pulp Fiction (1994)', 'The Truman Show (1998)', 'Beauty and the Beast (1991)', 'The Green Mile (1999)', 'The Princess Bride (1987)', 'The Sound of Music (1965)']"
1672,"[1270, 1197, 2716, 480, 364, 1036, 589, 2005, 318]","[21, 3114, 110, 518, 2433, 2794, 589]",1,"['Back to the Future (1985)', 'The Princess Bride (1987)', 'Ghostbusters (1984)', 'Jurassic Park (1993)', 'The Lion King (1994)', 'Die Hard (1988)', 'The Mask (1994)', 'Terminator 2: Judgment Day (1991)', 'The Goonies (1985)', 'The Shawshank Redemption (1994)']"
