userId,gender,age_group,recommendations,all_movies_rec
26,Male,Adult (41-60 years),"[56, 69, 64, 272]","['""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Good Will Hunting"" (1997)', '""The Matrix"" (1999)']"
31,Male,Young (21-40 years),"[483, 318, 64, 1127]","['Step 2: Filter movies based on preferred genres and years:', '""Casablanca"" (1942)', '""Schindler\'s List"" (1993)', '""The Shawshank Redemption"" (1994)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""The Truman Show"" (1998)']"
33,Male,Young (21-40 years),[],[]
91,Male,Adult (41-60 years),"[64, 82, 482, 174, 69]","['The Shawshank Redemption (1994)', 'Jurassic Park (1993)', 'Some Like It Hot (1959)', 'Raiders of the Lost Ark (1981)', 'Forrest Gump (1994)']"
97,Male,Adult (41-60 years),"[204, 173, 64, 174, 195]","['Step 2: Filter movies based on preferred genres and years:', 'Back to the Future (1985)', 'The Princess Bride (1987)', 'The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'The Terminator (1984)']"
106,Male,Adult (41-60 years),"[483, 64, 286, 275, 86]","['""Casablanca"" (1942)', '""The Shawshank Redemption"" (1994)', '""The English Patient"" (1996)', '""Sense and Sensibility"" (1995)', '""The Remains of the Day"" (1993)', ""However, it's important to note that individual preferences can vary, and the user may have specific preferences or criteria that were not explicitly mentioned.""]"
116,Male,Young (21-40 years),"[483, 64, 514, 56, 69]","['Step 2: Filter movies based on preferred genres and years:', 'Step 3: Calculate the average ratings for the filtered movies:', '""Casablanca"" (1942)', '""The Shawshank Redemption"" (1994)', '""Annie Hall"" (1977)', '""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)']"
144,Male,Adult (41-60 years),[],[]
231,Male,Adult (41-60 years),"[64, 96, 22, 79, 82]","['Step 2: Filter movies based on preferred genres and years:', 'The Shawshank Redemption (1994)', 'Terminator 2: Judgment Day (1991)', 'Braveheart (1995)', 'The Fugitive (1993)', 'Jurassic Park (1993)']"
253,Female,Young (21-40 years),"[69, 56, 514, 604]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Forrest Gump"" (1994)', '""Pulp Fiction"" (1994)', '""Annie Hall"" (1977)', '""The Graduate"" (1967)', '""It Happened One Night"" (1934)']"
284,Male,Young (21-40 years),"[1127, 316]","['""Shakespeare in Love"" (1998)', '""The Truman Show"" (1998)', '""The Fugitive"" (1993)', '""As Good as It Gets"" (1997)', '""The Talented Mr. Ripley"" (1999)']"
437,Female,Young (21-40 years),[],[]
563,Female,Young (21-40 years),"[1, 173, 204, 202, 71]","[""Step 2: Filter movies based on the user's preferred genres and years:"", 'Step 3: Exclude movies that the user has already watched or disliked:', 'Toy Story (1995)', 'It is a highly acclaimed animated film that combines adventure, comedy, and appeals to both children and adults.', 'The Princess Bride (1987)', 'It is a beloved classic that offers a mix of adventure, comedy, and romance, making it a great choice for the user.', 'Back to the Future (1985)', 'It is a highly entertaining and iconic film that combines adventure, comedy, and science fiction elements.', 'Groundhog Day (1993)', 'It is a clever and humorous film that explores themes of love, self-improvement, and personal growth.', 'The Lion King (1994)', 'It is a timeless animated film that offers a captivating story, memorable characters, and a blend of comedy, drama, and music.']"
609,Female,Teenager (0-20 years),"[294, 1, 304, 475, 313, 243, 352, 259, 285, 319, 901, 125, 408, 878, 314, 304, 313, 285, 408, 125]","[""Based on the user's preferences, the following movies fall within the preferred genres and years:"", 'Liar Liar (1997)', 'Toy Story (1995)', 'Fly Away Home (1996)', 'Trainspotting (1996)', 'Titanic (1997)', 'Jungle2Jungle (1997)', 'Spice World (1997)', 'George of the Jungle (1997)', 'Secrets & Lies (1996)', 'Everyone Says I Love You (1996)', 'Mr. Magoo (1997)', 'Phenomenon (1996)', 'Close Shave, A (1995)', 'That Darn Cat! (1997)', '3 Ninjas: High Noon At Mega Mountain (1998)', 'Fly Away Home (1996)', 'Titanic (1997)', 'Secrets & Lies (1996)', 'Close Shave, A (1995)', 'Phenomenon (1996)']"
660,Male,Young (21-40 years),[],[]
698,Female,Young (21-40 years),"[64, 69, 173, 56, 514]","['""The Shawshank Redemption"" (1994)', '""Forrest Gump"" (1994)', '""The Princess Bride"" (1987)', '""Pulp Fiction"" (1994)', '""Annie Hall"" (1977)', 'Each movie offers a different blend of genres and has received critical acclaim, ensuring a diverse and enjoyable movie-watching experience.']"
760,Female,Young (21-40 years),"[216, 202, 69, 204, 173]","['Step 2: Filter movies based on preferred genres and years:', 'When Harry Met Sally... (1989)', 'Groundhog Day (1993)', 'Forrest Gump (1994)', 'Back to the Future (1985)', 'The Princess Bride (1987)']"
764,Female,Young (21-40 years),"[216, 64, 56, 514]","['""When Harry Met Sally... (1989)', '""The Shawshank Redemption (1994)', '""Pulp Fiction (1994)', '""Annie Hall (1977)', '""Eternal Sunshine of the Spotless Mind (2004)']"
766,Male,Adult (41-60 years),"[64, 56, 1127, 182]","['""The Shawshank Redemption"" (1994)', '""Pulp Fiction"" (1994)', '""The Truman Show"" (1998)', '""Goodfellas"" (1990)', '""Eternal Sunshine of the Spotless Mind"" (2004)']"
920,Female,Young (21-40 years),[],[]
