userId,recommended_item_ids_in_db,gt,number_of_hits,original_recommendations
326,"[356, 296, 318, 1213, 858, 593, 50, 110, 1240, 1197]","[1219, 1387, 933, 750, 1958, 3361, 2634, 3897, 3479, 2529, 2398, 1271, 3099, 2501, 2745, 2140, 589, 468, 648, 2291, 2359, 3060, 3201, 3107, 1270, 2967, 952, 3671, 3394, 1197, 597, 2139, 1394, 1968, 2929, 1617, 1302, 1124, 2065, 2987, 3675, 1291, 1948, 1376, 3363, 2302, 2944, 21, 592, 281, 2420, 1935, 1961, 2300, 3684, 377, 3061, 1206, 3545, 953, 2762, 903, 1500]",1,"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Goodfellas (1990)', 'The Godfather (1972)', 'The Matrix (1999)', 'The Silence of the Lambs (1991)', 'The Usual Suspects (1995)', 'Braveheart (1995)', 'The Terminator (1984)', 'The Princess Bride (1987)', 'The Breakfast Club (1985)', 'Back to the Future (1985)', 'The Graduate (1967)', 'Raiders of the Lost Ark (1981)', 'The Big Lebowski (1998)', 'The Lion King (1994)', 'The Green Mile (1999)', 'The Truman Show (1998)', 'Fight Club (1999)']"
5863,"[2791, 1278, 1197, 39, 1265, 2124, 2174, 676, 2657, 1220]","[1617, 2762]",0,"['Airplane! (1980)', 'Young Frankenstein (1974)', 'The Princess Bride (1987)', 'Clueless (1995)', 'Groundhog Day (1993)', 'The Addams Family (1991)', 'Beetlejuice (1988)', 'The Birdcage (1996)', 'The Rocky Horror Picture Show (1975)', 'The Blues Brothers (1980)', ""Ferris Bueller's Day Off (1986)"", 'The Big Lebowski (1998)', ""Wayne's World (1992)"", 'Annie Hall (1977)', 'Some Like It Hot (1959)', 'The Graduate (1967)', 'The Breakfast Club (1985)', 'Ghost (1990)', 'The Mask (1994)', 'Mrs. Doubtfire (1993)']"
1799,"[296, 318, 356, 1704, 1682, 2858, 593, 2959, 3147, 50]","[1249, 3246, 480, 1266, 337, 523, 535, 3951, 1639, 1095, 2268, 150, 2303, 2291, 2289, 2391]",0,"['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'American Beauty (1999)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Green Mile (1999)', 'The Usual Suspects (1995)', 'The Sixth Sense (1999)', ""Schindler's List (1993)"", 'The Departed (2006)', 'The Matrix (1999)', 'The Social Network (2010)', 'The Lion King (1994)', 'The Big Short (2015)', 'The Grand Budapest Hotel (2014)', 'The Pursuit of Happyness (2006)', 'Eternal Sunshine of the Spotless Mind (2004)']"
224,"[318, 356, 296, 858, 3147, 1682, 1197, 1968, 3598, 593]","[1265, 3466, 2282, 3052, 3072, 1678, 144, 2321, 3553, 1, 1079, 1653, 3793, 648, 1648, 3594, 2174, 2125, 955, 3555, 3536, 1207, 1197, 1748, 1968, 1083, 2628, 1095, 800, 1441]",2,"['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'The Green Mile (1999)', 'The Truman Show (1998)', 'The Princess Bride (1987)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Breakfast Club (1985)', 'Amélie (2001)', 'The Notebook (2004)', 'The Silence of the Lambs (1991)', 'The Lion King (1994)', 'The Matrix (1999)', 'The Social Network (2010)', 'The Grand Budapest Hotel (2014)', 'The Departed (2006)', 'The Big Lebowski (1998)', 'The Shawshank Redemption (1994)', 'The Dark Knight (2008)']"
159,"[597, 39, 539, 1197, 1088, 2572, 1569, 2671, 1393, 1777]","[3255, 2710, 2683]",0,"['Pretty Woman (1990)', 'Clueless (1995)', 'Sleepless in Seattle (1993)', 'The Princess Bride (1987)', ""Bridget Jones's Diary (2001)"", 'Legally Blonde (2001)', 'Dirty Dancing (1987)', '10 Things I Hate About You (1999)', 'Love Actually (2003)', 'The Notebook (2004)', ""My Best Friend's Wedding (1997)"", 'Notting Hill (1999)', 'Jerry Maguire (1996)', 'The Wedding Singer (1998)', 'Four Weddings and a Funeral (1994)', ""You've Got Mail (1998)"", 'The Proposal (2009)', 'How to Lose a Guy in 10 Days (2003)', '50 First Dates (2004)', 'The Holiday (2006)']"
1177,"[1197, 1307, 1265, 539, 39, 1682, 2671]","[551, 858, 3457, 3429, 593, 3932, 480, 3753]",0,"['The Princess Bride (1987)', 'When Harry Met Sally... (1989)', 'Groundhog Day (1993)', 'Sleepless in Seattle (1993)', 'Clueless (1995)', 'The Truman Show (1998)', 'Notting Hill (1999)', ""Bridget Jones's Diary (2001)"", 'Legally Blonde (2001)', 'Love Actually (2003)', 'Mean Girls (2004)', 'The Devil Wears Prada (2006)', 'Juno (2007)', '500 Days of Summer (2009)', 'Easy A (2010)', 'Bridesmaids (2011)', 'Silver Linings Playbook (2012)', 'The Grand Budapest Hotel (2014)', 'La La Land (2016)', 'Lady Bird (2017)']"
2156,"[1982, 2005, 1270, 1097, 1258, 1198, 2716, 1197, 480, 551]","[3525, 223, 296, 2700, 1088, 2315, 2170, 1371, 1356, 2787, 1126, 2094, 1580, 1197, 1573, 288, 3173, 1136, 2901, 1350, 1302, 1014, 1223, 2078, 24, 2471, 1884, 1253, 3771, 3476, 1387, 44, 2009, 1017, 1013, 367, 910, 610, 1487, 20, 2944, 260, 1200, 3930, 2081, 1584, 3253, 161]",1,"['Halloween (1978)', 'The Goonies (1985)', 'Back to the Future (1985)', 'E.T. the Extra-Terrestrial (1982)', 'The Shining (1980)', 'Raiders of the Lost Ark (1981)', 'Ghostbusters (1984)', 'The Princess Bride (1987)', 'Jurassic Park (1993)', 'The Nightmare Before Christmas (1993)', 'The Terminator (1984)', 'The Lion King (1994)', 'Die Hard (1988)', 'The Matrix (1999)', 'Jaws (1975)', 'The Exorcist (1973)', 'The Lost Boys (1987)', 'The Karate Kid (1984)', 'The Little Mermaid (1989)', 'The Rocky Horror Picture Show (1975)']"
886,"[318, 356, 296, 858, 1704, 3147, 1682, 2858, 593, 2959]","[3751, 3328, 3182, 3865, 3783]",0,"['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'Good Will Hunting (1997)', 'The Green Mile (1999)', 'The Truman Show (1998)', 'American Beauty (1999)', 'The Departed (2006)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Social Network (2010)', 'The Grand Budapest Hotel (2014)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Princess Bride (1987)', 'The Breakfast Club (1985)', 'The Big Lebowski (1998)', 'The Notebook (2004)', 'The Pursuit of Happyness (2006)', 'The Devil Wears Prada (2006)']"
3943,"[318, 356, 3147, 1704, 1682, 1968, 1197, 3598]","[62, 2384, 1265, 1393, 1, 52, 1210, 1569]",0,"['The Shawshank Redemption (1994)', 'Forrest Gump (1994)', 'The Green Mile (1999)', 'Good Will Hunting (1997)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Truman Show (1998)', 'The Notebook (2004)', 'The Pursuit of Happyness (2006)', 'Little Miss Sunshine (2006)', 'Lost in Translation (2003)', 'The Breakfast Club (1985)', 'Silver Linings Playbook (2012)', 'Juno (2007)', 'The Help (2011)', 'The Princess Bride (1987)', 'Amélie (2001)', 'The Perks of Being a Wallflower (2012)', 'The Fault in Our Stars (2014)', 'The Grand Budapest Hotel (2014)', 'La La Land (2016)']"
1672,"[296, 356, 318, 1213, 1732, 2000, 1270, 2716, 1197, 2918]","[21, 3114, 110, 518, 2433, 2794, 589]",0,"['Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'Goodfellas (1990)', 'The Big Lebowski (1998)', 'Lethal Weapon (1987)', 'Back to the Future (1985)', 'Ghostbusters (1984)', 'The Princess Bride (1987)', ""Ferris Bueller's Day Off (1986)"", 'The Terminator (1984)', 'Beverly Hills Cop (1984)', 'Airplane! (1980)', 'The Blues Brothers (1980)', 'Caddyshack (1980)', 'The Goonies (1985)', 'Die Hard 2 (1990)', 'The Truman Show (1998)', 'The Mask (1994)', 'Dumb and Dumber (1994)']"
