userId,recommended_item_ids_in_db,gt,number_of_hits,original_recommendations
326,"[2028, 296, 318, 1036, 1213, 858, 356, 2959]","[1219, 1387, 933, 750, 1958, 3361, 2634, 3897, 3479, 2529, 2398, 1271, 3099, 2501, 2745, 2140, 589, 468, 648, 2291, 2359, 3060, 3201, 3107, 1270, 2967, 952, 3671, 3394, 1197, 597, 2139, 1394, 1968, 2929, 1617, 1302, 1124, 2065, 2987, 3675, 1291, 1948, 1376, 3363, 2302, 2944, 21, 592, 281, 2420, 1935, 1961, 2300, 3684, 377, 3061, 1206, 3545, 953, 2762, 903, 1500]",0,"['Saving Private Ryan (1998)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'Die Hard (1988)', 'Goodfellas (1990)', 'The Godfather (1972)', 'Forrest Gump (1994)', 'The Matrix (1999)', 'The Departed (2006)', 'Fight Club (1999)']"
5863,"[1721, 318, 296, 858, 2959, 1197, 2762]","[1617, 2762]",1,"['Titanic (1997)', 'The Shawshank Redemption (1994)', 'Gone Girl (2014)', 'Pulp Fiction (1994)', 'The Godfather (1972)', 'The Notebook (2004)', 'Fight Club (1999)', 'The Matrix (1999)', 'The Princess Bride (1987)', 'The Sixth Sense (1999)']"
1799,"[2858, 318, 2959, 296, 593, 1704, 1682, 2762, 110, 3147]","[1249, 3246, 480, 1266, 337, 523, 535, 3951, 1639, 1095, 2268, 150, 2303, 2291, 2289, 2391]",0,"['American Beauty (1999)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'Pulp Fiction (1994)', 'The Silence of the Lambs (1991)', 'Good Will Hunting (1997)', 'The Truman Show (1998)', 'The Sixth Sense (1999)', 'Braveheart (1995)', 'The Green Mile (1999)']"
224,"[39, 2918, 1197, 2572, 1968, 2145, 2599, 2144]","[1265, 3466, 2282, 3052, 3072, 1678, 144, 2321, 3553, 1, 1079, 1653, 3793, 648, 1648, 3594, 2174, 2125, 955, 3555, 3536, 1207, 1197, 1748, 1968, 1083, 2628, 1095, 800, 1441]",2,"['""Clueless"" (1995)', '""Ferris Bueller\'s Day Off"" (1986)', '""The Princess Bride"" (1987)', '""10 Things I Hate About You"" (1999)', '""The Breakfast Club"" (1985)', '""Mean Girls"" (2004)', '""Pretty in Pink"" (1986)', '""Election"" (1999)', '""Legally Blonde"" (2001)', '""Sixteen Candles"" (1984)']"
159,"[1036, 457, 296, 318, 1617, 50, 593, 608]","[3255, 2710, 2683]",0,"['Die Hard (1988)', 'The Fugitive (1993)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'L.A. Confidential (1997)', 'The Usual Suspects (1995)', 'The Silence of the Lambs (1991)', 'Fargo (1996)', 'The Departed (2006)', 'The Bourne Identity (2002)']"
1177,"[539, 1183, 2671, 318, 1721, 1682, 1393, 364, 3147]","[551, 858, 3457, 3429, 593, 3932, 480, 3753]",0,"['Sleepless in Seattle (1993)', 'The English Patient (1996)', 'Notting Hill (1999)', 'The Shawshank Redemption (1994)', 'Titanic (1997)', 'The Truman Show (1998)', 'Jerry Maguire (1996)', 'The Mask (1994)', 'The Lion King (1994)', 'The Green Mile (1999)']"
2156,"[296, 318, 1213, 1270, 1036, 356, 1240, 2959, 480]","[3525, 223, 296, 2700, 1088, 2315, 2170, 1371, 1356, 2787, 1126, 2094, 1580, 1197, 1573, 288, 3173, 1136, 2901, 1350, 1302, 1014, 1223, 2078, 24, 2471, 1884, 1253, 3771, 3476, 1387, 44, 2009, 1017, 1013, 367, 910, 610, 1487, 20, 2944, 260, 1200, 3930, 2081, 1584, 3253, 161]",1,"['Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'The Matrix (1999)', 'Goodfellas (1990)', 'Back to the Future (1985)', 'Die Hard (1988)', 'Forrest Gump (1994)', 'The Terminator (1984)', 'Fight Club (1999)', 'Jurassic Park (1993)', 'Enjoy watching!']"
886,"[2858, 3408]","[3751, 3328, 3182, 3865, 3783]",0,"['American Beauty (1999)', 'Erin Brockovich (2000)', ""Bridget Jones's Diary (2001)"", 'The Royal Tenenbaums (2001)', 'Lost in Translation (2003)', 'Little Miss Sunshine (2006)', 'Juno (2007)', 'The Help (2011)', 'Silver Linings Playbook (2012)', 'The Grand Budapest Hotel (2014)']"
3943,"[356, 1682, 364, 1569, 318, 39, 595, 1393, 1197, 588]","[62, 2384, 1265, 1393, 1, 52, 1210, 1569]",2,"['Forrest Gump (1994)', 'The Truman Show (1998)', 'The Lion King (1994)', ""My Best Friend's Wedding (1997)"", 'The Shawshank Redemption (1994)', 'Clueless (1995)', 'Beauty and the Beast (1991)', 'Jerry Maguire (1996)', 'The Princess Bride (1987)', 'Aladdin (1992)']"
1672,"[296, 858, 1036, 6, 318, 589, 1213, 2000, 110]","[21, 3114, 110, 518, 2433, 2794, 589]",2,"['Pulp Fiction (1994)', 'The Godfather (1972)', 'Die Hard (1988)', 'Heat (1995)', 'The Shawshank Redemption (1994)', 'Terminator 2: Judgment Day (1991)', 'Goodfellas (1990)', 'The Matrix (1999)', 'Lethal Weapon (1987)', 'Braveheart (1995)']"
